id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,date_month,date_year,age,coordinates,distance
7129300520,221900.0,3,1.0,1180,5650,1,0,0,3,7,1180,0.0,1955,0,98178,47.5112,-122.257,1340,5650,10,2014,65,"(47.5112, -122.257)",14.086618528868991
6414100192,538000.0,3,2.25,2570,7242,2,0,0,3,7,2170,400.0,1951,1991,98125,47.721000000000004,-122.319,1690,7639,12,2014,29,"(47.721000000000004, -122.319)",10.145412531775126
5631500400,180000.0,2,1.0,770,10000,1,0,0,3,6,770,0.0,1933,0,98028,47.7379,-122.23299999999999,2720,8062,2,2015,87,"(47.7379, -122.23299999999999)",13.77955122672951
2487200875,604000.0,4,3.0,1960,5000,1,0,0,5,7,1050,910.0,1965,0,98136,47.5208,-122.39299999999999,1360,5000,12,2014,55,"(47.5208, -122.39299999999999)",13.208857309140006
1954400510,510000.0,3,2.0,1680,8080,1,0,0,3,8,1680,0.0,1987,0,98074,47.6168,-122.045,1800,7503,2,2015,33,"(47.6168, -122.045)",20.884981800292895
7237550310,1230000.0,4,4.5,5420,101930,1,0,0,3,11,3890,1530.0,2001,0,98053,47.6561,-122.005,4760,101930,5,2014,19,"(47.6561, -122.005)",24.00257787894655
1321400060,257500.0,3,2.25,1715,6819,2,0,0,3,7,1715,0.0,1995,0,98003,47.3097,-122.32700000000001,2238,6819,6,2014,25,"(47.3097, -122.32700000000001)",35.594815007724684
2008000270,291850.0,3,1.5,1060,9711,1,0,0,3,7,1060,0.0,1963,0,98198,47.4095,-122.315,1650,9711,1,2015,57,"(47.4095, -122.315)",24.503641549543687
2414600126,229500.0,3,1.0,1780,7470,1,0,0,3,7,1050,730.0,1960,0,98146,47.5123,-122.337,1780,8113,4,2015,60,"(47.5123, -122.337)",13.107568566599436
3793500160,323000.0,3,2.5,1890,6560,2,0,0,3,7,1890,0.0,2003,0,98038,47.3684,-122.031,2390,7570,3,2015,17,"(47.3684, -122.031)",36.41487210249472
1736800520,662500.0,3,2.5,3560,9796,1,0,0,3,8,1860,1700.0,1965,0,98007,47.6007,-122.145,2210,8925,4,2015,55,"(47.6007, -122.145)",13.729149311874494
9212900260,468000.0,2,1.0,1160,6000,1,0,0,4,7,860,300.0,1942,0,98115,47.69,-122.292,1330,6000,5,2014,78,"(47.69, -122.292)",7.08513412689357
114101516,310000.0,3,1.0,1430,19901,1,0,0,4,7,1430,0.0,1927,0,98028,47.7558,-122.229,1780,12697,5,2014,93,"(47.7558, -122.229)",15.677846610274537
6054650070,400000.0,3,1.75,1370,9680,1,0,0,4,7,1370,0.0,1977,0,98074,47.6127,-122.045,1370,10208,10,2014,43,"(47.6127, -122.045)",20.92229406074465
1175000570,530000.0,5,2.0,1810,4850,1,0,0,3,7,1810,0.0,1900,0,98107,47.67,-122.39399999999999,1360,4850,3,2015,120,"(47.67, -122.39399999999999)",6.947448771498024
9297300055,650000.0,4,3.0,2950,5000,2,0,3,3,9,1980,970.0,1979,0,98126,47.5714,-122.375,2140,4000,1,2015,41,"(47.5714, -122.375)",7.574332681789873
1875500060,395000.0,3,2.0,1890,14040,2,0,0,3,7,1890,0.0,1994,0,98019,47.7277,-121.962,1890,14018,7,2014,26,"(47.7277, -121.962)",29.13665737322247
6865200140,485000.0,4,1.0,1600,4300,1,0,0,4,7,1600,0.0,1916,0,98103,47.6648,-122.34299999999999,1610,4300,5,2014,104,"(47.6648, -122.34299999999999)",4.170252296522397
16000397,189000.0,2,1.0,1200,9850,1,0,0,4,7,1200,0.0,1921,0,98002,47.3089,-122.21,1060,5095,12,2014,99,"(47.3089, -122.21)",36.679479802120646
7983200060,230000.0,3,1.0,1250,9774,1,0,0,4,7,1250,0.0,1969,0,98003,47.3343,-122.306,1280,8850,4,2015,51,"(47.3343, -122.306)",32.882971312554645
6300500875,385000.0,4,1.75,1620,4980,1,0,0,4,7,860,760.0,1947,0,98133,47.7025,-122.34100000000001,1400,4980,5,2014,73,"(47.7025, -122.34100000000001)",8.195488492715413
